2026-07-09 15:32:44,650 [INFO] Log file: apollo_extraction_20260709_153244.log
2026-07-09 15:32:44,650 [INFO] Starting Apollo extraction: titles=['Influencer Marketing Manager'], industries=['Supplements']
2026-07-09 15:32:45,349 [INFO] Starting from page 1, 0 contacts already extracted
2026-07-09 15:32:45,349 [INFO] Searching page 1: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:45,852 [INFO] Page 1: 25 contacts, 3823 total available
2026-07-09 15:32:45,853 [INFO] Checkpointed: 1 contacts, page 1
2026-07-09 15:32:46,858 [INFO] Searching page 2: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:47,704 [INFO] Page 2: 25 contacts, 3823 total available
2026-07-09 15:32:47,704 [INFO] Checkpointed: 1 contacts, page 2
2026-07-09 15:32:48,710 [INFO] Searching page 3: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:49,286 [INFO] Page 3: 25 contacts, 3823 total available
2026-07-09 15:32:49,287 [INFO] Checkpointed: 1 contacts, page 3
2026-07-09 15:32:50,288 [INFO] Searching page 4: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:50,715 [INFO] Page 4: 25 contacts, 3823 total available
2026-07-09 15:32:50,716 [INFO] Checkpointed: 1 contacts, page 4
2026-07-09 15:32:51,721 [INFO] Searching page 5: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:52,297 [INFO] Page 5: 25 contacts, 3823 total available
2026-07-09 15:32:52,298 [INFO] Checkpointed: 1 contacts, page 5
2026-07-09 15:32:53,303 [INFO] Searching page 6: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:53,823 [INFO] Page 6: 25 contacts, 3823 total available
2026-07-09 15:32:53,824 [INFO] Checkpointed: 1 contacts, page 6
2026-07-09 15:32:54,829 [INFO] Searching page 7: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:55,301 [INFO] Page 7: 25 contacts, 3823 total available
2026-07-09 15:32:55,302 [INFO] Checkpointed: 1 contacts, page 7
2026-07-09 15:32:56,307 [INFO] Searching page 8: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:56,746 [INFO] Page 8: 25 contacts, 3823 total available
2026-07-09 15:32:56,747 [INFO] Checkpointed: 1 contacts, page 8
2026-07-09 15:32:57,750 [INFO] Searching page 9: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:58,413 [INFO] Page 9: 25 contacts, 3823 total available
2026-07-09 15:32:58,414 [INFO] Checkpointed: 1 contacts, page 9
2026-07-09 15:32:59,419 [INFO] Searching page 10: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:59,988 [INFO] Page 10: 25 contacts, 3823 total available
2026-07-09 15:32:59,989 [INFO] Checkpointed: 1 contacts, page 10
2026-07-09 15:33:00,990 [INFO] Searching page 11: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:33:01,582 [INFO] Page 11: 25 contacts, 3823 total available
2026-07-09 15:33:01,583 [INFO] Checkpointed: 1 contacts, page 11
2026-07-09 15:33:02,585 [INFO] Searching page 12: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:33:03,157 [INFO] Page 12: 25 contacts, 3823 total available
2026-07-09 15:33:03,158 [INFO] Checkpointed: 1 contacts, page 12
2026-07-09 15:33:04,163 [INFO] Searching page 13: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:33:04,601 [INFO] Page 13: 25 contacts, 3823 total available
2026-07-09 15:33:04,602 [INFO] Checkpointed: 1 contacts, page 13
2026-07-09 15:33:05,608 [INFO] Searching page 14: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:33:06,300 [INFO] Page 14: 25 contacts, 3823 total available
2026-07-09 15:33:06,300 [INFO] Checkpointed: 1 contacts, page 14
2026-07-09 15:33:07,304 [INFO] Searching page 15: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:33:08,603 [INFO] Page 15: 25 contacts, 3823 total available
2026-07-09 15:33:08,604 [INFO] Checkpointed: 1 contacts, page 15
2026-07-09 15:33:09,609 [INFO] Searching page 16: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:33:10,108 [INFO] Page 16: 25 contacts, 3823 total available
2026-07-09 15:33:10,109 [INFO] Checkpointed: 1 contacts, page 16
2026-07-09 15:33:11,114 [INFO] Searching page 17: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:33:11,592 [INFO] Page 17: 25 contacts, 3823 total available
2026-07-09 15:33:11,593 [INFO] Checkpointed: 1 contacts, page 17
2026-07-09 15:33:12,598 [INFO] Searching page 18: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:33:13,989 [INFO] Page 18: 25 contacts, 3823 total available
2026-07-09 15:33:13,990 [INFO] Checkpointed: 1 contacts, page 18
